# x_m, y_m, vx_mps, delta_rad
-3.5104906, 4.9829723, 4.8196153, -0.0615511
-3.4386933, 5.1687032, 4.7705910, -0.0604365
-3.3601211, 5.3517843, 4.7162609, -0.0597098
-3.2750458, 5.5318058, 4.6550896, -0.0593841
-3.1834602, 5.7088606, 4.5872785, -0.0594798
-3.0858179, 5.8820780, 4.5161178, -0.0600168
-2.9815522, 6.0523003, 4.4375710, -0.0610170
-2.8715431, 6.2178660, 4.3571578, -0.0625206
-2.7549083, 6.3797808, 4.2711826, -0.0645659
-2.6322735, 6.5367150, 4.1828315, -0.0672530
-2.5035929, 6.6882705, 4.0915714, -0.0706717
-2.3678901, 6.8348936, 3.9972868, -0.0751229
-2.2266861, 6.9742003, 3.9017894, -0.0806500
-2.0778163, 7.1073770, 3.8042908, -0.0877205
-1.9224116, 7.2321737, 3.7066454, -0.0962635
-1.7611595, 7.3469114, 3.6089383, -0.1064360
-1.5909227, 7.4522235, 3.5136770, -0.1175330
-1.4145346, 7.5446285, 3.4218843, -0.1284697
-1.2323535, 7.6226886, 3.3342402, -0.1385369
-1.0432491, 7.6855794, 3.2554398, -0.1459145
-0.8496409, 7.7314683, 3.1973452, -0.1472658
-0.6533620, 7.7598557, 3.1341637, -0.1480593
-0.4546073, 7.7706033, 3.0487169, -0.1514856
-0.2563379, 7.7626038, 2.8993580, -0.1786041
-0.0597409, 7.7332188, 2.6691408, -0.1971537
0.1327434, 7.6800531, 2.4602931, -0.2233495
0.3155617, 7.6012251, 2.3835071, -0.2555846
0.4822995, 7.4950653, 2.2823648, -0.3201485
0.6257653, 7.3574508, 2.2121057, -0.3633814
0.7340192, 7.1902457, 2.2048587, -0.4238084
0.7945815, 7.0007599, 2.2207242, -0.4010394
0.8042825, 6.8017353, 2.2602196, -0.3984232
0.7651980, 6.6066573, 2.3791886, -0.3072311
0.6897564, 6.4235693, 2.5314177, -0.2467955
0.5870879, 6.2528258, 2.7061366, -0.1820952
0.4668917, 6.0962992, 2.8277516, -0.1425953
0.3319776, 5.9489906, 2.9497278, -0.1086453
0.1879487, 5.8112421, 3.0722904, -0.0787511
0.0375703, 5.6806150, 3.2173241, -0.0539208
-0.1174787, 5.5545948, 3.3729067, -0.0320518
-0.2744958, 5.4320720, 3.5471485, -0.0162929
-0.4328805, 5.3109730, 3.7159564, -0.0014557
-0.5915257, 5.1899104, 3.8516646, 0.0126285
-0.7491808, 5.0676551, 3.8644924, 0.0318990
-0.9039835, 4.9426806, 3.7061049, 0.0596862
-1.0550759, 4.8113613, 3.5767724, 0.0906085
-1.1967910, 4.6738156, 3.4619385, 0.1271621
-1.3292731, 4.5234858, 3.3811993, 0.1761229
-1.4436450, 4.3613583, 3.3142837, 0.2389561
-1.5328404, 4.1848144, 3.2610406, 0.3075244
-1.5869316, 3.9938727, 3.2339339, 0.3785889
-1.5946334, 3.7962428, 3.2228773, 0.4091151
-1.5503870, 3.6017343, 3.2260591, 0.4315859
-1.4581672, 3.4276058, 3.2525102, 0.3380419
-1.3302469, 3.2756847, 3.2889836, 0.2597410
-1.1789069, 3.1453502, 3.3375946, 0.1709960
-1.0167814, 3.0332926, 3.4167936, 0.1163682
-0.8426849, 2.9304138, 3.5044456, 0.0767473
-0.6687018, 2.8384299, 3.6299113, 0.0494689
-0.4880338, 2.7497431, 3.7575799, 0.0274972
-0.3083062, 2.6652935, 3.9021355, 0.0114673
-0.1266386, 2.5814695, 4.0092808, -0.0036084
0.0546203, 2.4973493, 3.9076004, -0.0190473
0.2342000, 2.4114669, 3.7984072, -0.0365649
0.4132612, 2.3208306, 3.6569492, -0.0598235
0.5871142, 2.2247042, 3.5257613, -0.0884756
0.7566702, 2.1186280, 3.4192476, -0.1243684
0.9169193, 2.0003967, 3.3304223, -0.1852997
1.0609783, 1.8664576, 3.2576418, -0.2691109
1.1831202, 1.7075132, 3.2205971, -0.3626780
1.2645624, 1.5279493, 3.1873611, -0.4246812
1.2956347, 1.3326658, 3.1538476, -0.4156094
1.2753361, 1.1354341, 3.1638114, -0.3561086
1.2119312, 0.9480567, 3.1332818, -0.2895336
1.1152106, 0.7733621, 3.0733745, -0.2228826
0.9966942, 0.6151456, 3.1283311, -0.1655756
0.8620357, 0.4688941, 3.1477204, -0.1290308
0.7147382, 0.3323200, 3.1397796, -0.1083344
0.5613236, 0.2078968, 3.1634085, -0.0955915
0.3988213, 0.0910214, 3.1806329, -0.0892581
0.2312138, -0.0161485, 3.1790787, -0.0930969
0.0573476, -0.1139473, 3.1796466, -0.1012462
-0.1220647, -0.2008131, 3.1819740, -0.1129758
-0.3072252, -0.2752571, 3.1824956, -0.1267519
-0.4968040, -0.3349712, 3.1804855, -0.1452748
