# x_m, y_m, vx_mps, delta_rad
0.6332625, 7.3067868, 1.8050309, -0.3685036
0.6850748, 7.1155157, 1.7521935, -0.3607748
0.6920808, 6.9178285, 1.7038052, -0.3910256
0.6508736, 6.7238467, 1.7031939, -0.3196276
0.5717651, 6.5411595, 1.7495666, -0.1749020
0.4716757, 6.3669281, 1.7592899, -0.1306365
0.3612339, 6.2054454, 1.7658310, -0.1054761
0.2381804, 6.0487396, 2.0105305, -0.1029925
0.1070227, 5.9013646, 2.2308547, -0.0828314
-0.0321240, 5.7596481, 2.4201395, -0.0429017
-0.1738622, 5.6226390, 2.6010907, -0.0080823
-0.3180226, 5.4846815, 2.7699919, 0.0201462
-0.4594972, 5.3461457, 2.8979239, 0.0379180
-0.5986735, 5.2035108, 2.9197933, 0.0535427
-0.7328509, 5.0568002, 2.8326210, 0.0686236
-0.8611887, 4.9042433, 2.7840900, 0.0833991
-0.9807740, 4.7465858, 2.7491439, 0.1011097
-1.0917007, 4.5798103, 2.7337919, 0.1297811
-1.1879758, 4.4067812, 2.7246131, 0.1694916
-1.2660147, 4.2242907, 2.7298968, 0.2244584
-1.3182307, 4.0324374, 2.7500361, 0.2970215
-1.3342081, 3.8365526, 2.7801407, 0.3758306
-1.3043407, 3.6408304, 2.8269984, 0.4093489
-1.2271227, 3.4608211, 2.8851063, 0.3384095
-1.1121065, 3.2982318, 2.9509856, 0.2253517
-0.9770232, 3.1549920, 3.0285784, 0.1511054
-0.8282352, 3.0238132, 3.1140093, 0.0980395
-0.6704404, 2.9007287, 3.2057978, 0.0648189
-0.5095603, 2.7852016, 3.3089080, 0.0410745
-0.3441850, 2.6725936, 3.4147693, 0.0218271
-0.1783333, 2.5628759, 3.4180158, 0.0052694
-0.0123050, 2.4537979, 3.4067429, -0.0113580
0.1542946, 2.3426424, 3.2843417, -0.0315376
0.3169844, 2.2295123, 3.1611067, -0.0564061
0.4768337, 2.1099832, 3.0354234, -0.0895583
0.6292720, 1.9822603, 2.9087246, -0.1516792
0.7669533, 1.8433465, 2.7811538, -0.2431901
0.8846979, 1.6821268, 2.6536089, -0.3505495
0.9636114, 1.5022307, 2.5271626, -0.3971655
0.9958205, 1.3070407, 2.4020220, -0.3920599
0.9799112, 1.1101785, 2.2796678, -0.3501165
0.9215791, 0.9213654, 2.1750540, -0.3020258
0.8282606, 0.7453721, 2.0861418, -0.2532867
0.7096635, 0.5872514, 2.0312996, -0.2109666
0.5711523, 0.4451519, 1.9940386, -0.1787867
0.4171459, 0.3183357, 1.9698604, -0.1545914
0.2531824, 0.2075213, 1.9682552, -0.1405202
0.0794013, 0.1105345, 1.9732314, -0.1333609
-0.1012317, 0.0281540, 1.9904726, -0.1340255
-0.2884258, -0.0394157, 1.9963560, -0.1411789
-0.4797810, -0.0904461, 2.0491308, -0.1557365
# x_m, y_m, vx_mps, delta_rad
-0.4929568, -0.0278592, 1.5141180, -0.1521301
-0.6899449, -0.0626065, 1.5370239, -0.1577244
-0.8882793, -0.0782148, 1.5638833, -0.1607894
-1.0873231, -0.0744160, 1.5960762, -0.1596853
-1.2852058, -0.0513709, 1.6353238, -0.1540865
-1.4800078, -0.0099273, 1.6776487, -0.1466140
-1.6705413, 0.0487351, 1.7241374, -0.1373019
-1.8551970, 0.1229211, 1.7745045, -0.1273976
-2.0340600, 0.2113928, 1.8263003, -0.1179121
-2.2058284, 0.3122668, 1.8793664, -0.1103638
-2.3704092, 0.4243380, 1.9332158, -0.1019033
-2.5284769, 0.5469248, 1.9873761, -0.0932883
-2.6782249, 0.6775850, 2.0342778, -0.0980601
-2.8204965, 0.8173740, 2.0815450, -0.0904421
-2.9550096, 0.9646230, 2.1294191, -0.0621538
-3.0832148, 1.1173834, 2.1573595, -0.1221220
-3.1998850, 1.2795472, 2.1768464, -0.2164294
-3.2967714, 1.4530466, 1.9007002, -0.1340877
-3.3796267, 1.6349696, 1.7045285, -0.0753780
-3.4533715, 1.8201535, 1.7231659, -0.0680178
-3.5193927, 2.0082368, 1.8411656, -0.0699164
-3.5774037, 2.1990716, 2.0455080, -0.0799993
-3.6261829, 2.3922622, 2.1625418, -0.0803324
-3.6655754, 2.5878958, 2.2559804, -0.0785017
-3.6954912, 2.7848231, 2.3362276, -0.0814496
-3.7156955, 2.9832261, 2.4070919, -0.0841295
-3.7257763, 3.1822478, 2.4537562, -0.0860203
-3.7254873, 3.3815563, 2.4958059, -0.0883533
-3.7145281, 3.5807364, 2.5334079, -0.0912695
-3.6926776, 3.7787120, 2.5569758, -0.0886508
-3.6601459, 3.9757554, 2.5752112, -0.0843249
-3.6177454, 4.1702423, 2.5829266, -0.0799875
-3.5658153, 4.3630662, 2.5885757, -0.0759813
-3.5052271, 4.5527881, 2.5841823, -0.0728697
-3.4361838, 4.7400591, 2.5779162, -0.0702174
-3.3593321, 4.9240131, 2.5667077, -0.0680431
-3.2748925, 5.1048135, 2.5537713, -0.0662757
-3.1833291, 5.2819640, 2.5385843, -0.0649103
-3.0847719, 5.4555667, 2.5233384, -0.0637034
-2.9797980, 5.6249160, 2.5080521, -0.0628004
-2.8681063, 5.7906902, 2.4945406, -0.0618033
-2.7509654, 5.9512567, 2.4815811, -0.0611937
-2.6269612, 6.1086662, 2.4705043, -0.0600925
-2.4983135, 6.2602759, 2.4593545, -0.0592884
-2.3634643, 6.4081210, 2.4474846, -0.0579122
-2.2239082, 6.5507360, 2.4341037, -0.0563625
-2.0801620, 6.6879677, 2.4189668, -0.0543488
-1.9305451, 6.8216876, 2.3987829, -0.0518117
-1.7785004, 6.9492369, 2.3752893, -0.0491895
-1.6218659, 7.0729042, 2.3445912, -0.0468243
-1.4613224, 7.1923799, 2.3046550, -0.0478749
-1.2987192, 7.3062280, 2.2579783, -0.0535810
-1.1326034, 7.4146485, 2.2041778, -0.0665733
-0.9610496, 7.5164304, 2.1348457, -0.1050332
-0.7848263, 7.6061587, 2.0748722, -0.1684601
-0.5996943, 7.6780337, 2.0124135, -0.2276850
-0.4041708, 7.7238575, 1.9369407, -0.2805185
-0.2071328, 7.7356456, 1.8980984, -0.2975579
-0.0087652, 7.7105356, 1.8456117, -0.3165858
0.1805184, 7.6469200, 1.7714304, -0.3225271
0.3529572, 7.5453576, 1.7260666, -0.4116408
0.4908835, 7.4034565, 1.6494299, -0.5092074
0.5779105, 7.2250236, 1.3956221, -0.3966429
0.6170595, 7.0292960, 1.2021567, -0.3082361
0.6181337, 6.8302252, 1.0619013, -0.2026253
0.5907060, 6.6328955, 1.3456977, -0.3280784
0.5244565, 6.4461598, 1.6224611, -0.3561054
0.4195387, 6.2760259, 1.7328259, -0.1506084
0.2976864, 6.1158497, 1.7094855, -0.0794234
0.1705863, 5.9646899, 1.5960253, -0.0756375
0.0360538, 5.8185148, 1.8567228, -0.0614756
-0.1038495, 5.6773063, 2.0934116, -0.0387957
-0.2477488, 5.5386666, 2.2923727, -0.0099404
-0.3917220, 5.4015773, 2.4672814, 0.0207530
-0.5353910, 5.2613210, 2.6131417, 0.0479138
-0.6741617, 5.1187108, 2.4336033, 0.0372056
-0.8105164, 4.9720061, 2.2944381, 0.0622656
-0.9402493, 4.8202312, 2.2433349, 0.1673758
-1.0543835, 4.6559884, 2.0609268, 0.1927996
-1.1478265, 4.4809611, 1.7787355, 0.1577028
-1.2242798, 4.2944864, 1.7569016, 0.1881786
-1.2777374, 4.1036525, 1.8264541, 0.2479967
-1.3010757, 3.9062487, 2.0389917, 0.3559363
-1.2806780, 3.7088625, 2.1493875, 0.4115188
-1.2111539, 3.5252893, 2.2316677, 0.3790044
-1.0986999, 3.3595329, 2.3143692, 0.2401184
-0.9652895, 3.2159625, 2.3941395, 0.1575119
-0.8153175, 3.0828782, 2.4823254, 0.0991316
-0.6580019, 2.9596899, 2.5842607, 0.0640618
-0.4961267, 2.8429014, 2.7001414, 0.0396226
-0.3305161, 2.7294280, 2.8228699, 0.0207712
-0.1642576, 2.6185898, 2.9556018, 0.0040780
0.0020226, 2.5083341, 3.0901637, -0.0122773
0.1688448, 2.3958639, 2.9851554, -0.0317253
0.3312504, 2.2817350, 2.8718704, -0.0552675
0.4918486, 2.1605346, 2.7404164, -0.0863822
0.6440009, 2.0324526, 2.6113051, -0.1441457
0.7836428, 1.8918904, 2.4854752, -0.2388518
0.9022198, 1.7309259, 2.3438415, -0.3392576
0.9830362, 1.5507657, 2.1958052, -0.4111358
1.0154638, 1.3547614, 2.0412904, -0.4044324
0.9973131, 1.1571312, 1.9059310, -0.3653420
0.9344426, 0.9688065, 1.7862245, -0.3132472
0.8357623, 0.7953991, 1.6861974, -0.2545063
0.7118176, 0.6406100, 1.6167568, -0.2070682
0.5682859, 0.5018391, 1.5619272, -0.1693728
0.4110706, 0.3786758, 1.5251378, -0.1430704
0.2441356, 0.2700749, 1.5059403, -0.1286036
0.0685435, 0.1745174, 1.4940404, -0.1216335
-0.1131925, 0.0925126, 1.4941702, -0.1246088
-0.3011050, 0.0243784, 1.4942214, -0.1344412
-0.4929568, -0.0278592, 1.5141180, -0.1521301
# x_m, y_m, vx_mps, delta_rad
-0.4774021, -0.1017462, 3.0587202, -0.1502520
-0.6725842, -0.1447347, 3.1099575, -0.1599928
-0.8702641, -0.1684168, 3.1508576, -0.1685450
-1.0694876, -0.1717466, 3.1734432, -0.1731703
-1.2679695, -0.1541348, 3.1985072, -0.1710081
-1.4635115, -0.1159660, 3.2267519, -0.1662766
-1.6542682, -0.0582760, 3.2708702, -0.1566444
-1.8386305, 0.0173014, 3.3215892, -0.1465221
-2.0157477, 0.1090998, 3.3785362, -0.1357410
-2.1843811, 0.2149750, 3.4434122, -0.1251749
-2.3447953, 0.3335752, 3.5106597, -0.1153318
-2.4963855, 0.4629965, 3.5818908, -0.1065689
-2.6392688, 0.6019107, 3.6548317, -0.0991526
-2.7738630, 0.7495121, 3.7288010, -0.0926653
-2.8994886, 0.9038849, 3.8037668, -0.0877005
-3.0170709, 1.0651562, 3.8790504, -0.0833957
-3.1262251, 1.2319639, 3.9550256, -0.0799862
-3.2271795, 1.4038667, 4.0315039, -0.0773336
-3.3201179, 1.5805817, 4.1083206, -0.0752414
-3.4046840, 1.7608788, 4.1845951, -0.0741056
-3.4812742, 1.9452473, 4.2604211, -0.0733852
-3.5494497, 2.1324412, 4.3343571, -0.0734830
-3.6093050, 2.3226900, 4.4065663, -0.0740478
-3.6605787, 2.5154476, 4.4765005, -0.0751245
-3.7029886, 2.7101066, 4.5424190, -0.0767122
-3.7364024, 2.9070337, 4.6064508, -0.0785034
-3.7603206, 3.1045091, 4.6630600, -0.0808191
-3.7746231, 3.3038058, 4.7175987, -0.0829671
-3.7788743, 3.5026987, 4.7626009, -0.0857600
-3.7727837, 3.7022905, 4.8031817, -0.0861863
-3.7563669, 3.9008779, 4.8339719, -0.0817872
-3.7301061, 4.0986518, 4.8562496, -0.0776925
-3.6945830, 4.2949244, 4.8689489, -0.0735513
-3.6503787, 4.4893330, 4.8690463, -0.0698862
-3.5979306, 4.6819150, 4.8609935, -0.0667390
-3.5378139, 4.8720112, 4.8395690, -0.0639244
-3.4703150, 5.0598426, 4.8130478, -0.0615098
-3.3959179, 5.2449125, 4.7736696, -0.0594953
-3.3149133, 5.4271706, 4.7315949, -0.0579017
-3.2274806, 5.6066667, 4.6775400, -0.0566360
-3.1341640, 5.7826580, 4.6222257, -0.0557799
-3.0346023, 5.9560257, 4.5563682, -0.0551665
-2.9297376, 6.1252804, 4.4892228, -0.0549366
-2.8188226, 6.2916830, 4.4142547, -0.0548750
-2.7028999, 6.4536682, 4.3370540, -0.0551591
-2.5812863, 6.6121539, 4.2542510, -0.0556401
-2.4545743, 6.7662431, 4.1682659, -0.0565068
-2.3228855, 6.9156720, 4.0786410, -0.0577173
-2.1854737, 7.0610162, 3.9850098, -0.0598131
